      TIME              V(A)              V(Y)             I(VVDD)     
   1.06832791e-09    1.20000000e+00    1.55862279e-02   -5.27031884e-06
   1.06866431e-09    1.20000000e+00    1.49255772e-02   -5.04797805e-06
   1.06900072e-09    1.20000000e+00    1.42926501e-02   -4.83639300e-06
   1.06967352e-09    1.20000000e+00    1.31049418e-02   -4.43655196e-06
   1.07034633e-09    1.20000000e+00    1.20151107e-02   -4.07082208e-06
   1.07101914e-09    1.20000000e+00    1.10152266e-02   -3.73323474e-06
   1.07169195e-09    1.20000000e+00    1.00979791e-02   -3.42485841e-06
   1.07236476e-09    1.20000000e+00    9.25663303e-03   -3.14008068e-06
   1.07303756e-09    1.20000000e+00    8.48498632e-03   -2.88030716e-06
   1.07371037e-09    1.20000000e+00    7.77733070e-03   -2.64024165e-06
   1.07438318e-09    1.20000000e+00    7.12841443e-03   -2.42158555e-06
   1.07505599e-09    1.20000000e+00    6.53340770e-03   -2.21931870e-06
   1.07572880e-09    1.20000000e+00    5.98787025e-03   -2.03539962e-06
   1.07640160e-09    1.20000000e+00    5.48772122e-03   -1.86504722e-06
   1.07707441e-09    1.20000000e+00    5.02921112e-03   -1.71044195e-06
   1.07774722e-09    1.20000000e+00    4.60889580e-03   -1.56700849e-06
   1.07842003e-09    1.20000000e+00    4.22361232e-03   -1.43711783e-06
   1.07909284e-09    1.20000000e+00    3.87045659e-03   -1.31637090e-06
   1.07976564e-09    1.20000000e+00    3.54676269e-03   -1.20730157e-06
   1.08111126e-09    1.20000000e+00    2.97718695e-03   -1.01292042e-06
   1.08245687e-09    1.20000000e+00    2.49893314e-03   -8.51215945e-07
   1.08380249e-09    1.20000000e+00    2.09740368e-03   -7.13796367e-07
   1.08514811e-09    1.20000000e+00    1.76032111e-03   -5.99987561e-07
   1.08649372e-09    1.20000000e+00    1.47736332e-03   -5.02826805e-07
   1.08783934e-09    1.20000000e+00    1.23985492e-03   -4.22847981e-07
   1.08918495e-09    1.20000000e+00    1.04050650e-03   -3.54108218e-07
   1.09053057e-09    1.20000000e+00    8.73194549e-04   -2.98001499e-07
   1.09322180e-09    1.20000000e+00    6.13253983e-04   -2.08595728e-07
   1.09591303e-09    1.20000000e+00    4.30680924e-04   -1.47268757e-07
   1.09860426e-09    1.20000000e+00    3.02459423e-04   -1.02710072e-07
   1.10129550e-09    1.20000000e+00    2.12414743e-04   -7.28969798e-08
   1.10667796e-09    1.20000000e+00    1.02341177e-04   -3.45137177e-08
